Veld;Label;Formaat;Type;Lijst met mogelijke waarden;Is database veld
admi_num;Administratie;999;integer;;WAAR
betc_num;Betalingsconditie;>>9;integer;;WAAR
btkr_num;Betalingskorting;>9;integer;;WAAR
d_dashboard;Dashboard;;Dashboard;;ONWAAR
dashboard_verkoopvcnc;Verkoop VCNC overzicht;X(8);verzameling;;ONWAAR
debi_num;Debiteur;x(10);character;;WAAR
g_label_vorr;Label groep verkooporderregel;x(40);omschrijving;;ONWAAR
g_title_termijnen;Termijn informatie;;omschrijving;;ONWAAR
krdb_num;Kredietbeperking;>9;integer;;WAAR
land_code;Land;x(4);character;;WAAR
levc_num;Leveringsconditie;>9;integer;;WAAR
mkg_gbrv_vorh;MKG Verkooporder header;;character;;ONWAAR
proj_num;Project;x(8);character;;WAAR
rela_num;Relatie;>>>>>9;integer;;WAAR
s_actie_list;Actielijst;;Service;;ONWAAR
s_forecastlijst;Forecastlijst;;Service;;ONWAAR
s_inkoopoffertelijst;Offerteaanvraaglijst;;Service;;ONWAAR
s_offertelijst;Offertelijst;;Service;;ONWAAR
s_retour;Retouren;;Service;;ONWAAR
s_term_lines;Toekennen verkooporder regels;;Service;;ONWAAR
s_term_plan;Termijnplan sjabloon;;Service;;ONWAAR
sys_dat_aanm;Aangemaakt op;99-99-9999;datum;;WAAR
sys_dat_wijzig;Gewijzigd op;99-99-9999;datum;;WAAR
sys_gebr_aanm;Aangemaakt door;X(20);character;;WAAR
sys_gebr_wijzig;Gewijzigd door;X(20);character;;WAAR
sys_tijd_aanm;Aangemaakt op tijd;>>>>>9;integer;;WAAR
sys_tijd_wijzig;Gewijzigd op tijd;>>>>>9;integer;;WAAR
t_behoefteinfo;Behoefte info;;Behoefte info;;ONWAAR
t_bestand_export;Bestand export;;character;;ONWAAR
t_betaal_status;Betaalstatus;9;integer;Niet volledig gefactureerd,1,Volledig gefactureerd,2,Gedeeltelijk betaald,3,Volledig betaald,4,Onbekend,5;ONWAAR
t_bron;Bron;9;integer;Verkooporder regel,0,Verkooporder termijnen,1;ONWAAR
t_brpa;Briefpapier;;character;;ONWAAR
t_btw_keuze;BTW keuze;9;integer;Standaard,1,BTW binnenland vrijgesteld,2,BTW binnenland verlegd,3;ONWAAR
t_calculate_valuta;Ingaveprijzen berekenen met de nieuwe koers;ja/nee;logical;;ONWAAR
t_copy_docs_bron;Documenten kopieerder;x(40);character;;ONWAAR
t_copy_docs_vofh;Documenten kopieeren offerte;;logical;;ONWAAR
t_copy_docs_vofh_process;Procesocumenten kopieeren offerte;;logical;;ONWAAR
t_copy_docs_vorh_forecast;Dcumenten kopieeren forecast order;;logical;;ONWAAR
t_cprs_email;Contactpersoon email;X(40);e-mail;;ONWAAR
t_cprs_mobiel;Contactpersoon mobiel;X(40);omschrijving;;ONWAAR
